Dest_agg,Dest_mean_enc
DCA,5.628886745955213
IAH,7.697414567383773
CVG,5.665417576877836
LGA,16.12164469742361
BOS,8.692872657946962
EWR,15.768378769214289
LAS,9.367857866326665
Other,8.709601869360514
DEN,6.671995688880905
IAD,9.066884843526283
SEA,9.521523958095187
CLT,5.9832687632938315
CLE,8.119788253087975
PDX,7.5924235143360566
MIA,11.379715691634773
BWI,8.66603547459252
TPA,8.960492120541886
PHX,7.219553583083148
DFW,6.8114287483807034
SFO,14.164711200401808
ATL,8.974253931238774
ORD,15.767410172386494
DTW,4.829796783183208
LAX,7.932018227878917
MSP,3.5673563595463493
MCO,9.120714039323905
SAN,8.004574642212615
JFK,9.509592624890994
PHL,10.296256258534365
SLC,5.6769656792816985
