PlaneIssueYear_agg,mean_enc
1987,8.995852750585964
1988,8.743839189811263
2005,8.979434151284503
2000,8.060749240634491
2002,10.805877962786628
1995,8.458034351374415
Other,8.800139453330353
2004,9.951724962960919
1989,9.735991372994896
1992,8.366653580320891
1999,8.951785672246157
1994,9.74574095924155
1997,9.759827586206896
1996,8.587298308709176
1986,9.691058122205662
1985,9.261307803071105
1998,8.15239739924791
1993,8.57764867298375
2001,8.39759488418959
1990,9.401361050719242
2003,11.200759552137951
1991,8.37750184862606
